symbol,date,return,direction,move_type,avg_volume_5d,move_volume,volume_surge_pct,consecutive_increases,volume_trend_pct,avg_return_5d,volume_pattern
AGQ,2025-12-26,19.12,UP,single_day,4268960,10683000,150.2,1,-7.2,4.88,EXPLOSIVE_SURGE
NEBX,2026-01-06,15.79,UP,single_day,572780,1425100,148.8,2,8.6,3.94,EXPLOSIVE_SURGE
CLSX,2025-12-15,-30.55,DOWN,single_day,571680,1410000,146.6,4,40.8,0.7,EXPLOSIVE_SURGE
CRWU,2026-01-02,21.87,UP,single_day,1199320,2934200,144.7,3,36.7,-4.88,EXPLOSIVE_SURGE
UXRP,2026-01-06,27.89,UP,2_day,427060,1031500,141.5,4,286.0,12.41,EXPLOSIVE_SURGE
SLON,2025-12-18,-17.48,DOWN,2_day,185460,446300,140.6,3,6.0,-4.98,EXPLOSIVE_SURGE
NVDG,2025-12-19,11.74,UP,2_day,346880,834500,140.6,2,18.2,-0.35,EXPLOSIVE_SURGE
TSLR,2025-12-15,12.73,UP,2_day,1023140,2452600,139.7,2,-10.6,2.14,EXPLOSIVE_SURGE
APLX,2025-12-15,-35.06,DOWN,single_day,200740,475100,136.7,2,-18.0,-6.68,EXPLOSIVE_SURGE
NVOX,2026-01-06,14.76,UP,2_day,689340,1622900,135.4,2,29.7,3.54,EXPLOSIVE_SURGE
XRPT,2026-01-06,27.83,UP,2_day,2396540,5614800,134.3,3,201.9,12.28,EXPLOSIVE_SURGE
TEMT,2026-01-06,15.2,UP,single_day,464740,1088400,134.2,2,-21.8,2.51,EXPLOSIVE_SURGE
HOOX,2025-12-11,-17.91,DOWN,single_day,215220,503800,134.1,2,-25.4,-0.51,EXPLOSIVE_SURGE
BEX,2025-12-10,-15.07,DOWN,single_day,621020,1447900,133.1,2,-14.4,3.92,EXPLOSIVE_SURGE
SMU,2026-01-06,40.39,UP,2_day,2211080,5131400,132.1,2,49.1,13.77,EXPLOSIVE_SURGE
LABX,2026-01-06,-20.08,DOWN,2_day,844320,1944800,130.3,3,126.7,-0.62,EXPLOSIVE_SURGE
RIOX,2025-12-31,-12.7,DOWN,2_day,412600,947800,129.7,2,125.3,-4.64,EXPLOSIVE_SURGE
QPUX,2025-12-15,-18.21,DOWN,single_day,163320,374500,129.3,2,12.9,-3.94,EXPLOSIVE_SURGE
IRE,2025-12-15,-23.31,DOWN,single_day,13381700,30574000,128.5,3,85.1,-6.97,EXPLOSIVE_SURGE
OKLL,2026-01-05,29.76,UP,single_day,2144700,4889100,128.0,2,-19.1,0.64,EXPLOSIVE_SURGE
DFEN,2026-01-02,10.14,UP,single_day,106820,242000,126.5,2,5.3,-2.06,EXPLOSIVE_SURGE
RGTU,2025-12-22,26.55,UP,single_day,333720,754100,126.0,2,-0.9,0.66,EXPLOSIVE_SURGE
IRE,2026-01-02,25.59,UP,single_day,9255840,20752300,124.2,3,7.5,-5.36,EXPLOSIVE_SURGE
AVGG,2025-12-08,10.48,UP,2_day,94020,210800,124.2,1,-35.1,0.57,EXPLOSIVE_SURGE
MSOX,2025-12-15,-12.97,DOWN,single_day,3247300,7239900,123.0,2,522.4,29.04,EXPLOSIVE_SURGE
CRWU,2025-12-22,51.49,UP,2_day,1850920,4115600,122.4,3,51.6,8.03,EXPLOSIVE_SURGE
ASMG,2025-12-17,-11.24,DOWN,single_day,45600,101200,121.9,1,14.1,-2.07,EXPLOSIVE_SURGE
IRE,2025-12-12,-17.31,DOWN,single_day,10604020,23344200,120.1,2,26.8,-0.84,EXPLOSIVE_SURGE
CRWU,2025-12-19,44.93,UP,single_day,1492500,3284200,120.0,3,-6.9,-7.14,EXPLOSIVE_SURGE
BMNG,2026-01-05,14.15,UP,single_day,4853540,10673900,119.9,2,25.8,5.19,EXPLOSIVE_SURGE
NBIG,2025-12-19,29.21,UP,single_day,444440,977300,119.9,2,27.4,-5.52,EXPLOSIVE_SURGE
OKLL,2026-01-06,13.86,UP,single_day,2663740,5855800,119.8,2,38.5,9.95,EXPLOSIVE_SURGE
HOOW,2025-12-12,-14.27,DOWN,2_day,376080,826700,119.8,1,17.3,-1.88,EXPLOSIVE_SURGE
BAIG,2026-01-06,17.42,UP,single_day,403240,883400,119.1,4,67.1,2.04,EXPLOSIVE_SURGE
BOIL,2025-12-05,11.53,UP,2_day,7593560,16625200,118.9,2,6.3,3.08,EXPLOSIVE_SURGE
ETHU,2026-01-02,10.35,UP,single_day,4114940,8992400,118.5,2,8.1,0.46,EXPLOSIVE_SURGE
XXRP,2026-01-05,34.05,UP,single_day,1490720,3210400,115.4,2,7.4,3.52,EXPLOSIVE_SURGE
CWVX,2026-01-02,21.63,UP,single_day,965060,2079200,115.4,1,-12.2,-4.81,EXPLOSIVE_SURGE
ASTX,2025-12-24,-17.04,DOWN,single_day,1701260,3644100,114.2,2,36.8,17.14,EXPLOSIVE_SURGE
CONL,2026-01-05,15.46,UP,single_day,4043280,8616000,113.1,2,3.4,-0.11,EXPLOSIVE_SURGE
NBIG,2025-12-17,-13.77,DOWN,single_day,338420,720800,113.0,2,36.8,-7.07,EXPLOSIVE_SURGE
UBRL,2026-01-06,11.96,UP,single_day,110840,235900,112.8,3,98.2,-0.55,EXPLOSIVE_SURGE
OPEX,2026-01-06,18.94,UP,single_day,198540,422400,112.8,3,2.3,4.26,EXPLOSIVE_SURGE
TECL,2025-12-12,-10.36,DOWN,2_day,965580,2049600,112.3,1,63.2,0.7,EXPLOSIVE_SURGE
RGTU,2026-01-05,11.23,UP,single_day,330200,700000,112.0,2,-44.1,2.57,EXPLOSIVE_SURGE
RGTU,2025-12-05,-12.7,DOWN,single_day,301420,635500,110.8,2,96.9,8.74,EXPLOSIVE_SURGE
NUGT,2025-12-11,10.58,UP,2_day,644140,1357100,110.7,3,7.5,1.16,EXPLOSIVE_SURGE
HIMZ,2026-01-09,-12.96,DOWN,single_day,3565620,7496400,110.2,2,-5.2,0.73,EXPLOSIVE_SURGE
BEX,2026-01-05,11.87,UP,single_day,326880,686500,110.0,2,39.5,4.57,EXPLOSIVE_SURGE
INTW,2026-01-05,13.12,UP,2_day,417560,875100,109.6,3,121.4,4.27,EXPLOSIVE_SURGE
CRCG,2026-01-05,13.08,UP,2_day,4347580,9105300,109.4,2,-16.8,1.19,EXPLOSIVE_SURGE
SLON,2025-12-09,11.3,UP,2_day,198500,415500,109.3,1,-15.5,-1.66,EXPLOSIVE_SURGE
XRPT,2026-01-02,16.63,UP,single_day,1287960,2678400,108.0,2,-4.7,-0.53,EXPLOSIVE_SURGE
QUBX,2025-12-17,-18.64,DOWN,single_day,211920,440000,107.6,2,-14.6,-5.12,EXPLOSIVE_SURGE
BAIG,2026-01-05,17.47,UP,2_day,318020,658400,107.0,4,57.4,0.82,EXPLOSIVE_SURGE
MSOX,2025-12-18,-50.59,DOWN,single_day,6230180,12782400,105.2,1,-19.6,35.04,EXPLOSIVE_SURGE
CRWG,2026-01-02,22.14,UP,single_day,13639420,27961800,105.0,2,9.9,-4.92,EXPLOSIVE_SURGE
AGQ,2025-12-29,-16.68,DOWN,single_day,5301680,10844800,104.6,2,112.2,8.11,EXPLOSIVE_SURGE
CIFU,2026-01-06,15.04,UP,2_day,123280,251900,104.3,3,93.6,10.02,EXPLOSIVE_SURGE
OPEX,2025-12-10,-11.22,DOWN,single_day,233060,475300,103.9,3,-9.3,3.4,EXPLOSIVE_SURGE
AMZU,2026-01-06,12.76,UP,2_day,1930540,3928600,103.5,2,169.6,0.17,EXPLOSIVE_SURGE
NBIG,2026-01-12,19.21,UP,single_day,657660,1321885,101.0,2,-14.3,2.82,EXPLOSIVE_SURGE
LLYX,2026-01-07,12.61,UP,2_day,333900,670200,100.7,2,210.0,-0.61,EXPLOSIVE_SURGE
IONX,2025-12-26,-15.54,DOWN,single_day,2069500,4143800,100.2,1,28.5,3.86,EXPLOSIVE_SURGE
DPST,2025-12-11,12.13,UP,2_day,604200,1207100,99.8,3,134.8,2.47,STRONG_SURGE
OKLL,2026-01-09,15.71,UP,single_day,4163220,8281200,98.9,2,9.1,11.89,STRONG_SURGE
CRDU,2025-12-10,-14.43,DOWN,single_day,377540,750200,98.7,2,-17.9,-5.23,STRONG_SURGE
BOIL,2026-01-09,-13.67,DOWN,single_day,11540900,22921400,98.6,2,-16.6,-3.96,STRONG_SURGE
ASTX,2025-12-05,40.83,UP,2_day,979180,1937900,97.9,4,176.5,13.87,STRONG_SURGE
RKLX,2025-12-12,12.58,UP,2_day,1586720,3136300,97.7,3,43.3,13.27,STRONG_SURGE
SMUP,2025-12-05,-12.69,DOWN,single_day,1101640,2166000,96.6,3,115.5,7.26,STRONG_SURGE
WULX,2026-01-02,21.46,UP,single_day,70840,139000,96.2,3,184.7,-3.33,STRONG_SURGE
NVTX,2026-01-05,15.98,UP,single_day,89300,175100,96.1,3,56.5,6.8,STRONG_SURGE
UXRP,2025-12-15,-11.29,DOWN,single_day,318780,622100,95.2,2,-17.1,-2.2,STRONG_SURGE
CRWU,2026-01-05,14.31,UP,2_day,1659980,3237000,95.0,3,62.6,2.25,STRONG_SURGE
PLTG,2025-12-17,-11.02,DOWN,single_day,106360,207200,94.8,2,-30.5,-0.07,STRONG_SURGE
CRDU,2026-01-06,-10.58,DOWN,single_day,484600,943300,94.7,2,135.0,-1.51,STRONG_SURGE
JNUG,2025-12-11,11.12,UP,2_day,257320,500800,94.6,3,66.5,1.8,STRONG_SURGE
NAIL,2026-01-08,12.45,UP,single_day,1197880,2330000,94.5,4,118.5,0.26,STRONG_SURGE
ARMG,2026-01-05,12.28,UP,2_day,349280,678100,94.1,4,161.3,2.01,STRONG_SURGE
RDTL,2026-01-02,10.06,UP,single_day,135600,263200,94.1,1,57.2,0.84,STRONG_SURGE
NBIG,2025-12-22,39.63,UP,2_day,575360,1116900,94.1,2,68.7,5.47,STRONG_SURGE
AMZZ,2026-01-06,12.75,UP,2_day,220280,426900,93.8,3,208.5,0.19,STRONG_SURGE
APPX,2026-01-05,-12.64,DOWN,2_day,363420,701800,93.1,3,68.2,-7.0,STRONG_SURGE
TEMT,2025-12-18,-16.97,DOWN,2_day,266840,512900,92.2,2,48.5,-6.47,STRONG_SURGE
RETL,2026-01-06,10.93,UP,2_day,195940,374800,91.3,2,59.8,0.32,STRONG_SURGE
RGTX,2025-12-05,-13.24,DOWN,single_day,2720000,5188400,90.8,3,174.1,8.84,STRONG_SURGE
NAIL,2026-01-09,18.52,UP,single_day,1531740,2921000,90.7,4,116.8,2.45,STRONG_SURGE
QPUX,2026-01-02,12.02,UP,single_day,288100,546400,89.7,2,-31.3,-4.37,STRONG_SURGE
NUGT,2025-12-29,-11.44,DOWN,single_day,608360,1150200,89.1,2,-21.6,2.22,STRONG_SURGE
CRCA,2026-01-05,13.61,UP,2_day,6246520,11753000,88.2,2,-8.5,1.22,STRONG_SURGE
